GENEL SEO STRATEJİ ÖNERİLERİ - DOĞANLAR MOBİLYA GRUBU

=== KELEBEK MOBİLYA STRATEJİSİ ===

Öncelik	Alan	Mevcut Durum	Hedef	Aksiyon	Tahmini Etki
1	DR Artırma	DR 36	DR 50+	Yüksek otoriteli sitelerden backlink kampanyası, PR çalışmaları, üniversite/kurum işbirlikleri	Çok Yüksek
2	Koltuk Takımı KW	Poz 19	Top 5	/koltuk-takimlari sayfasi icerik zenginlestirme, schema markup, internal link artirma	Yüksek
3	Yatak Odası KW	Poz 12	Top 5	/yatak-odasi-takimi sayfasi yeniden yapilandirma, UX iyilestirme, kullanici yorumlari ekleme	Yüksek
4	TV Ünitesi KW	Poz 12	Top 5	/tv-unite-takimi icerik guncelleme, gorsel optimizasyon, video icerik ekleme	Orta
5	Blog Stratejisi	Bohem #1, renk rehberleri güçlü	Daha fazla bilgi içeriği	Mobilya bakim, dekorasyon trendleri, renk uyumu gibi konularda yeni içerikler	Orta
6	Internal Link	Kategori sayfaları 2300 link	4000+ link	Ana kategorileri footer, sidebar, breadcrumb ile daha fazla linklenmesi önerilir	Yüksek
7	Sehpa/Konsol	Orta sehpa #12, konsol #6	Top 3	Uzun kuyruk içerikler, karşılaştırma sayfaları oluşturulması önerilir	Orta
8	Genç Odası	5012 trafik, 1924 KW	10000+ trafik	Genç odası dekorasyon rehberi, 2025 trendleri içeriği oluşturulması önerilir	Orta
9	Makyaj Masası	Poz 8 (50K hacim)	Top 3	Özel landing page, makyaj masası rehberi, video içerik	Yüksek
10	EN Sayfalar	2290 internal link	Optimize	Hreflang doğru kullanın, gereksiz EN internal linkleri azaltılması değerlendirilebilir	Düşük

=== DOĞTAŞ STRATEJİSİ ===

Öncelik	Alan	Mevcut Durum	Hedef	Aksiyon	Tahmini Etki
1	DR Koruma	DR 46	DR 55+	Refdomains avantajıni (2641) koruyarak DR artırmak için kaliteli link building	Çok Yüksek
2	Backlink Sayısı	16756 BL	50000+ BL	PR kampanyaları, misafir yazıları, sponsorluklar ile backlink sayısını artırma	Yüksek
3	Koltuk Hakimiyeti	Poz 7 (151K hacim)	Top 3	/koltuk-takimlari sayfasi UX iyilestirme, kullanici deneyimi, hiz optimizasyonu	Çok Yüksek
4	404 Link Kaybı	2788 internal link 404'e gidiyor	0	Tüm kırık linkleri tespit edip doğru sayfalara yönlendirilmesi önerilir	Yüksek
5	Yatak Odası	Poz 3 (106K hacim)	Poz 1	İçerik zenginleştirme, video, 360 görüntüleme, müşteri yorumları	Çok Yüksek
6	Blog Güçlü	retro #1, antrasit #2, polyester #1	Devam	Bilgi amaçlı içerikler üretmeye devam, FAQ schema eklenmesi önerilir	Orta
7	Sayfa Cannibalization	/yatak-odasi ve /yatak-odasi-takimlari cakisiyor	Tek sayfa	Canonical tag veya 301 redirect ile birleştirilmesi önerilir	Yüksek
8	TV Ünitesi	Poz 4 (68K hacim)	Poz 1-2	Video içerik, interaktif filtre, karşılaştırma tablosu eklenmesi önerilir	Yüksek
9	Düğün Paketi	Poz 4 (6700 hacim)	Poz 1	Özel landing page, fiyat hesaplayıcı, set önerileri	Orta
10	Enzahome Fırsatı	Enzahome DR 31, 221 KW	Domine et	Enzahome'un KW'lerini hedeflenmesi önerilir - kolay kazanım	Düşük

