Keyword	Hacim	Pozisyon	Trafik	KD	CPC (cent)	URL	Kategori	Cluster	Intent
lova yatak	14000	1	5688	0	9	https://www.lovayatak.com/	Brand	Yatak / Baza	I/C/T/N
yatak	38000	3	2741	9	6	https://www.lovayatak.com/yatak/	Non-Brand	Yatak / Baza	I/C
lova	4000	1	1989	11	13	https://www.lovayatak.com/	Brand	Diğer	I/C
baza başlık	11000	3	1950	1	6	https://www.lovayatak.com/baza-baslik/	Non-Brand	Yatak / Baza	I/C
uyku nasıl açılır	4000	1	1935	0	1	https://www.lovayatak.com/en-etkili-uyku-acma-yontemleri	Long-Tail	Blog / Bilgi	I
uyumak için ne yapılır	3800	1	1696	1	1	https://www.lovayatak.com/uyumak-icin-ne-yapilir/	Long-Tail	Blog / Bilgi	I
yatak baza başlık	11000	2	1435	2	5	https://www.lovayatak.com/baza-baslik/	Non-Brand	Yatak / Baza	I/C
ani uyku bastırması sebepleri	3900	1	1428	0	3	https://www.lovayatak.com/ani-uyku-bastirmasi-neden-olur	Long-Tail	Blog / Bilgi	I
çift kişilik baza	11000	4	852	1	5	https://www.lovayatak.com/baza-baslik/cift-kisilik-bazalar/	Quick Win	Yatak / Baza	I/C
uyuma taktikleri	2500	3	745	0	1	https://www.lovayatak.com/uyumak-icin-ne-yapilir/	Non-Brand	Blog / Bilgi	I
battaniye hangi programda yıkanır	2000	1	723	0	1	https://www.lovayatak.com/battaniye-nasil-yikanir/	Long-Tail	Ev Tekstili	I
yatak nasıl temizlenir	900	1	445	0	3	https://www.lovayatak.com/yatak-temizligi-nasil-yapilir/	Long-Tail	Blog / Bilgi	I
çok esnemek neden olur	3500	3	440	0	1	https://www.lovayatak.com/esnemek-neden-olur/	Long-Tail	Blog / Bilgi	I
baza	20000	10	418	0	5	https://www.lovayatak.com/baza-baslik/bazalar/	Quick Win	Yatak / Baza	I/C
lyocell nedir	1500	1	413	0	2	https://www.lovayatak.com/lyocell-kumas-nedir-ozellikleri-nelerdir	Non-Brand	Blog / Bilgi	I
kötü rüya görmek	1300	1	413	0	1	https://www.lovayatak.com/kabus-nedir-neden-kabus-goruruz	Long-Tail	Blog / Bilgi	I
baza başlık modelleri	4100	3	400	2	5	https://www.lovayatak.com/baza-baslik/	Long-Tail	Yatak / Baza	I/C
uykuda titreme	1200	1	398	0	1	https://www.lovayatak.com/uykuda-sicrama/	Non-Brand	Blog / Bilgi	I
baza başlık yatak	5100	3	378	3	6	https://www.lovayatak.com/baza-baslik/	Non-Brand	Yatak / Baza	I/C
bebeklerin uyuma şekilleri ve anlamları	1000	1	367	0	12	https://www.lovayatak.com/bebekler-nasil-uyumali	Long-Tail	Blog / Bilgi	I
liyosel	500	1	362	0	2	https://www.lovayatak.com/lyocell-kumas-nedir-ozellikleri-nelerdir	Non-Brand	Blog / Bilgi	I
hızlı uyuma taktiği	1900	3	359	0	1	https://www.lovayatak.com/uykuya-dalma-yontemleri	Long-Tail	Blog / Bilgi	I
